locality,species,month,year,socioeconomic_stratum,citizen_reports,abuse_cases,animals_seized,vet_emergencies,microchip_coverage,sterilization_rate,stray_density,prior_cases_6m,institutional_response_days,abandonment_risk
RAFAEL URIBE URIBE,CANINO,11,2022,1,7,27,6,19,0.124,0.2214,51.41,10,6,HIGH
KENNEDY,FELINO,6,2022,1,17,9,2,26,0.1806,0.3426,48.96,12,6,HIGH
KENNEDY,CANINO,1,2023,1,9,15,3,24,0.0521,0.2108,55.99,13,9,HIGH
PUENTE ARANDA,CANINO,4,2023,3,7,13,8,17,0.3637,0.3867,39.73,14,7,MEDIUM
LA CANDELARIA,CANINO,4,2022,6,3,7,2,8,0.7046,0.293,12.97,4,3,LOW
USME,CANINO,9,2024,2,11,12,3,31,0.2065,0.0599,47.0,10,9,HIGH
USAQUÉN,FELINO,3,2023,3,6,5,1,7,0.7153,0.357,21.09,3,1,LOW
TUNJUELITO,CANINO,11,2024,1,8,16,4,21,0.2052,0.2701,49.38,7,4,MEDIUM
USME,FELINO,11,2023,1,12,19,5,25,0.1725,0.2505,47.54,12,6,HIGH
SUBA,CANINO,7,2024,3,6,7,3,16,0.4909,0.3775,37.35,8,1,MEDIUM
ANTONIO NARIÑO,CANINO,12,2023,1,12,14,5,24,0.2211,0.3144,54.43,13,5,HIGH
BARRIOS UNIDOS,FELINO,3,2024,4,5,9,1,12,0.4288,0.4144,26.8,4,2,MEDIUM
RAFAEL URIBE URIBE,CANINO,2,2024,1,14,14,5,28,0.1653,0.176,49.37,12,10,HIGH
USME,CANINO,4,2024,3,14,20,5,23,0.2099,0.0709,40.74,7,4,MEDIUM
KENNEDY,FELINO,10,2022,2,12,24,6,30,0.2703,0.3148,44.93,13,3,HIGH
LOS MÁRTIRES,CANINO,1,2023,1,12,14,3,27,0.1758,0.2632,44.73,11,12,HIGH
CHAPINERO,CANINO,3,2023,4,3,7,1,7,0.7531,0.4585,23.36,4,1,LOW
RAFAEL URIBE URIBE,CANINO,4,2024,2,16,22,7,25,0.1905,0.2412,39.73,15,8,HIGH
KENNEDY,CANINO,10,2024,3,8,16,3,33,0.2432,0.2591,46.43,18,7,HIGH
ANTONIO NARIÑO,FELINO,2,2023,3,5,12,2,29,0.2815,0.2264,42.58,12,4,MEDIUM
USME,CANINO,12,2024,1,9,23,5,38,0.02,0.1188,57.27,12,11,HIGH
FONTIBÓN,CANINO,9,2023,4,4,9,3,14,0.5068,0.3959,32.19,10,6,MEDIUM
LOS MÁRTIRES,CANINO,6,2024,3,12,9,2,22,0.2584,0.2546,38.32,10,5,MEDIUM
PUENTE ARANDA,CANINO,4,2023,2,7,13,5,32,0.4248,0.2953,33.16,7,8,MEDIUM
FONTIBÓN,FELINO,1,2023,3,6,18,6,19,0.404,0.3163,35.85,13,6,MEDIUM
SANTA FE,FELINO,12,2022,2,7,18,3,28,0.2673,0.3207,35.95,6,4,MEDIUM
BARRIOS UNIDOS,CANINO,11,2022,4,6,15,2,16,0.5432,0.278,33.26,6,8,MEDIUM
FONTIBÓN,CANINO,6,2024,3,6,10,3,11,0.4542,0.3973,34.57,6,4,MEDIUM
SAN CRISTÓBAL,CANINO,5,2023,2,7,19,7,19,0.3644,0.2213,37.82,7,3,MEDIUM
KENNEDY,CANINO,1,2024,1,13,16,4,34,0.0659,0.2693,57.7,14,4,HIGH
CIUDAD BOLÍVAR,CANINO,11,2023,1,12,24,7,27,0.1801,0.2337,59.1,10,5,HIGH
CIUDAD BOLÍVAR,CANINO,4,2022,3,12,21,7,25,0.1018,0.2217,50.95,11,9,HIGH
RAFAEL URIBE URIBE,FELINO,7,2023,1,12,17,7,22,0.1731,0.186,54.18,12,7,HIGH
SUMAPAZ,FELINO,1,2024,4,1,7,3,15,0.5155,0.1083,14.69,11,7,LOW
SAN CRISTÓBAL,CANINO,12,2024,1,8,15,3,21,0.094,0.2109,54.33,14,7,HIGH
CHAPINERO,CANINO,10,2024,6,2,4,0,8,0.7551,0.5146,15.58,3,4,LOW
BOSA,CANINO,2,2023,1,20,22,7,22,0.1206,0.2132,54.65,15,9,HIGH
FONTIBÓN,CANINO,7,2024,2,7,17,3,23,0.3552,0.2676,36.5,13,1,MEDIUM
BOSA,FELINO,11,2023,1,13,17,5,24,0.1486,0.2524,48.58,13,4,HIGH
RAFAEL URIBE URIBE,FELINO,12,2023,1,15,16,4,27,0.02,0.2247,52.92,16,11,HIGH
SAN CRISTÓBAL,FELINO,2,2022,2,7,22,7,34,0.2098,0.1903,45.24,20,10,HIGH
USAQUÉN,FELINO,11,2023,2,5,10,5,8,0.6789,0.4387,21.01,3,3,LOW
KENNEDY,FELINO,6,2023,2,20,16,5,33,0.123,0.2751,55.82,19,12,HIGH
KENNEDY,CANINO,11,2024,1,16,18,5,27,0.1327,0.2797,64.89,18,8,HIGH
KENNEDY,CANINO,9,2022,2,12,20,5,23,0.2733,0.2628,48.08,14,6,HIGH
RAFAEL URIBE URIBE,CANINO,2,2024,1,8,22,5,29,0.1944,0.1428,48.15,14,6,HIGH
LOS MÁRTIRES,CANINO,8,2023,2,15,19,4,29,0.2352,0.2514,42.97,4,6,MEDIUM
CIUDAD BOLÍVAR,FELINO,3,2023,2,8,23,6,23,0.1257,0.146,43.51,10,10,HIGH
USME,FELINO,10,2023,3,5,24,4,28,0.2547,0.0442,47.71,5,7,HIGH
CIUDAD BOLÍVAR,CANINO,3,2023,1,15,24,8,38,0.293,0.1301,43.63,17,8,HIGH
SUBA,FELINO,8,2022,2,7,8,2,13,0.568,0.4796,27.28,10,7,MEDIUM
RAFAEL URIBE URIBE,FELINO,8,2024,1,5,25,7,19,0.1949,0.2233,52.18,14,6,HIGH
SAN CRISTÓBAL,CANINO,2,2023,2,21,21,6,24,0.2065,0.1736,42.79,6,9,HIGH
LOS MÁRTIRES,FELINO,7,2024,1,7,15,6,31,0.2503,0.2743,45.62,4,6,MEDIUM
BOSA,CANINO,6,2023,1,8,20,6,35,0.0755,0.2848,56.19,15,3,HIGH
USME,CANINO,1,2022,1,7,23,8,31,0.0773,0.2581,54.75,12,4,HIGH
SANTA FE,CANINO,6,2024,3,5,19,3,15,0.3554,0.3122,37.97,9,6,MEDIUM
ANTONIO NARIÑO,CANINO,2,2023,1,12,19,3,29,0.2517,0.3013,46.72,6,6,MEDIUM
FONTIBÓN,CANINO,1,2024,4,7,13,4,18,0.4033,0.313,37.37,8,7,MEDIUM
LOS MÁRTIRES,CANINO,6,2023,2,14,21,4,23,0.2682,0.1486,46.13,8,10,MEDIUM
BOSA,FELINO,7,2022,1,21,17,5,37,0.123,0.2247,62.9,16,4,HIGH
BOSA,CANINO,8,2023,2,5,16,5,22,0.1337,0.2475,53.35,13,7,HIGH
SAN CRISTÓBAL,CANINO,3,2024,1,14,20,5,25,0.1323,0.3045,52.35,9,7,HIGH
TEUSAQUILLO,CANINO,8,2023,4,4,17,4,12,0.5312,0.5164,20.63,6,5,MEDIUM
SANTA FE,CANINO,6,2024,2,3,15,4,26,0.354,0.3531,37.5,9,5,MEDIUM
USME,CANINO,10,2024,2,11,8,1,24,0.1896,0.1521,43.08,7,13,MEDIUM
TEUSAQUILLO,FELINO,12,2024,4,15,15,3,14,0.5063,0.5225,26.22,6,1,MEDIUM
TUNJUELITO,CANINO,6,2024,3,10,18,6,16,0.2741,0.1697,46.05,8,5,MEDIUM
CIUDAD BOLÍVAR,FELINO,9,2024,2,16,16,6,26,0.1376,0.0736,50.62,9,3,HIGH
SANTA FE,FELINO,6,2023,3,7,9,2,17,0.3542,0.3397,33.61,8,10,MEDIUM
SANTA FE,FELINO,3,2023,3,10,16,1,27,0.3236,0.2941,33.62,11,5,MEDIUM
SANTA FE,CANINO,9,2023,5,5,9,0,18,0.3906,0.3152,37.91,6,5,MEDIUM
KENNEDY,CANINO,3,2023,2,16,16,3,24,0.2157,0.214,47.26,14,5,HIGH
USAQUÉN,CANINO,2,2023,4,6,8,3,11,0.6461,0.5266,21.6,3,1,LOW
USME,CANINO,5,2024,1,7,11,2,25,0.2425,0.0634,45.19,11,8,MEDIUM
SUMAPAZ,FELINO,3,2022,4,0,5,2,13,0.6883,0.1203,10.06,4,7,LOW
LOS MÁRTIRES,CANINO,5,2024,3,10,14,4,21,0.3271,0.278,39.66,11,4,MEDIUM
ENGATIVÁ,CANINO,9,2024,3,7,7,0,18,0.5372,0.3964,24.4,7,4,LOW
TUNJUELITO,CANINO,12,2023,1,14,20,7,24,0.1599,0.2617,49.94,13,7,HIGH
BARRIOS UNIDOS,CANINO,8,2024,3,6,7,2,15,0.4944,0.4281,35.73,11,9,MEDIUM
USME,CANINO,5,2024,2,10,12,4,22,0.2448,0.1022,43.21,7,7,MEDIUM
ENGATIVÁ,CANINO,9,2023,4,7,17,8,15,0.4274,0.4449,30.71,11,6,MEDIUM
BOSA,CANINO,8,2024,1,11,20,6,32,0.1433,0.1606,54.19,11,4,HIGH
USME,CANINO,4,2023,1,11,19,4,24,0.2385,0.2271,43.05,9,13,MEDIUM
ANTONIO NARIÑO,FELINO,7,2023,1,12,15,4,26,0.2749,0.2371,44.14,10,8,MEDIUM
KENNEDY,CANINO,6,2024,1,20,17,3,29,0.0948,0.3542,60.3,15,3,HIGH
SAN CRISTÓBAL,CANINO,8,2022,2,12,24,9,23,0.2309,0.1028,52.72,22,4,HIGH
RAFAEL URIBE URIBE,CANINO,2,2023,3,9,16,5,21,0.2805,0.2334,48.56,9,8,MEDIUM
PUENTE ARANDA,CANINO,4,2023,4,9,8,2,18,0.4605,0.2816,40.88,4,4,MEDIUM
CIUDAD BOLÍVAR,CANINO,6,2024,1,19,14,3,25,0.1246,0.2422,51.88,10,6,HIGH
RAFAEL URIBE URIBE,CANINO,5,2024,2,8,8,1,25,0.2739,0.1825,41.48,14,3,MEDIUM
BOSA,FELINO,11,2024,1,10,16,5,30,0.087,0.186,59.21,18,6,HIGH
LOS MÁRTIRES,CANINO,9,2024,4,6,9,1,26,0.4498,0.2282,35.59,6,6,MEDIUM
TUNJUELITO,CANINO,7,2023,2,13,18,5,20,0.1602,0.2621,52.28,7,6,HIGH
SANTA FE,FELINO,1,2023,2,8,8,3,23,0.3852,0.2092,46.09,12,5,MEDIUM
LOS MÁRTIRES,FELINO,6,2024,2,9,21,4,23,0.3726,0.3076,40.34,10,4,MEDIUM
TUNJUELITO,CANINO,5,2022,3,4,13,5,16,0.3441,0.1788,40.82,10,9,MEDIUM
RAFAEL URIBE URIBE,CANINO,6,2024,2,13,12,6,27,0.1678,0.2361,47.96,12,9,HIGH
PUENTE ARANDA,CANINO,12,2024,3,12,15,5,17,0.2994,0.3044,47.13,9,4,MEDIUM
PUENTE ARANDA,CANINO,12,2022,1,14,22,3,17,0.2106,0.3759,42.91,11,5,HIGH
USAQUÉN,FELINO,12,2024,2,5,6,1,18,0.4704,0.551,32.82,7,5,MEDIUM
ANTONIO NARIÑO,CANINO,11,2024,4,7,10,2,20,0.3023,0.3035,39.74,13,4,MEDIUM
KENNEDY,FELINO,9,2024,2,9,17,3,29,0.1788,0.2877,53.84,15,9,HIGH
SAN CRISTÓBAL,CANINO,4,2023,3,11,13,3,22,0.259,0.1949,44.76,13,6,MEDIUM
SUBA,CANINO,5,2022,3,10,8,0,6,0.6017,0.3593,25.45,2,4,LOW
SAN CRISTÓBAL,FELINO,11,2024,1,7,12,4,36,0.1674,0.2345,49.27,6,11,HIGH
SAN CRISTÓBAL,FELINO,7,2024,1,18,16,5,28,0.0814,0.1083,52.25,13,7,HIGH
ANTONIO NARIÑO,CANINO,6,2022,3,10,8,1,22,0.3635,0.2861,35.47,10,6,MEDIUM
LA CANDELARIA,CANINO,7,2024,3,4,10,1,14,0.4812,0.3429,29.39,12,8,MEDIUM
FONTIBÓN,CANINO,9,2023,4,6,11,4,22,0.5617,0.3755,31.37,6,2,MEDIUM
SAN CRISTÓBAL,FELINO,10,2024,2,6,20,6,18,0.2613,0.1597,41.33,10,9,MEDIUM
RAFAEL URIBE URIBE,CANINO,3,2023,1,20,19,4,26,0.2149,0.2475,41.7,12,9,MEDIUM
KENNEDY,CANINO,2,2023,1,19,20,7,17,0.0791,0.2182,53.34,11,3,HIGH
SAN CRISTÓBAL,CANINO,4,2022,2,12,16,5,25,0.244,0.1888,37.93,9,8,MEDIUM
SAN CRISTÓBAL,CANINO,8,2023,2,11,17,3,25,0.2149,0.2651,43.51,5,3,HIGH
ENGATIVÁ,CANINO,7,2024,4,8,13,5,22,0.3459,0.4477,29.75,6,2,MEDIUM
USAQUÉN,CANINO,5,2022,5,1,3,0,8,0.7771,0.3928,16.82,6,1,LOW
CHAPINERO,CANINO,5,2024,5,2,5,1,11,0.8358,0.4854,15.17,3,5,LOW
KENNEDY,FELINO,4,2022,1,11,18,4,29,0.1875,0.218,56.12,15,8,HIGH
RAFAEL URIBE URIBE,FELINO,6,2023,3,11,27,6,25,0.2334,0.1728,43.64,8,6,HIGH
USME,CANINO,3,2023,3,10,9,2,25,0.2787,0.1033,37.99,14,2,MEDIUM
BARRIOS UNIDOS,CANINO,8,2023,3,8,14,2,16,0.4932,0.3821,31.4,10,7,MEDIUM
ANTONIO NARIÑO,CANINO,9,2023,3,7,15,1,17,0.3656,0.351,39.64,10,4,MEDIUM
PUENTE ARANDA,CANINO,6,2024,4,5,14,3,20,0.4291,0.2612,34.6,5,4,MEDIUM
BOSA,CANINO,10,2022,2,9,21,9,28,0.3079,0.2642,50.48,5,5,MEDIUM
LA CANDELARIA,CANINO,7,2023,4,1,14,3,25,0.4591,0.3453,28.68,3,8,MEDIUM
RAFAEL URIBE URIBE,CANINO,6,2024,1,14,19,4,34,0.2091,0.2365,47.95,9,4,HIGH
SANTA FE,CANINO,2,2023,3,9,11,2,18,0.379,0.3147,30.97,8,4,MEDIUM
TUNJUELITO,CANINO,12,2024,2,14,23,8,31,0.3091,0.2968,49.79,12,5,HIGH
TEUSAQUILLO,CANINO,9,2022,3,3,6,2,14,0.5852,0.4906,22.4,5,6,LOW
CIUDAD BOLÍVAR,FELINO,3,2023,3,14,20,5,43,0.2309,0.2375,47.54,16,5,HIGH
USAQUÉN,CANINO,3,2024,3,3,8,1,12,0.7125,0.5487,21.75,4,4,LOW
RAFAEL URIBE URIBE,CANINO,5,2022,3,12,16,6,29,0.3547,0.3104,43.32,7,10,MEDIUM
SUBA,CANINO,3,2024,5,7,6,2,8,0.6887,0.4337,17.67,6,3,LOW
TEUSAQUILLO,CANINO,4,2023,4,3,5,2,12,0.7067,0.3737,24.67,5,1,LOW
BOSA,FELINO,10,2023,1,7,18,2,28,0.1363,0.2154,55.13,4,12,HIGH
CIUDAD BOLÍVAR,CANINO,1,2024,1,7,19,8,33,0.0316,0.2662,56.3,18,5,HIGH
PUENTE ARANDA,CANINO,4,2024,2,13,13,6,26,0.3887,0.2846,36.65,9,5,MEDIUM
KENNEDY,FELINO,6,2023,1,14,24,6,21,0.1138,0.2651,60.67,16,3,HIGH
CIUDAD BOLÍVAR,CANINO,12,2022,1,11,19,5,27,0.0772,0.2247,59.77,14,12,HIGH
SAN CRISTÓBAL,CANINO,7,2024,3,14,18,7,31,0.1566,0.2183,46.99,10,6,HIGH
TUNJUELITO,CANINO,12,2024,2,8,26,9,28,0.1142,0.2213,49.14,18,6,HIGH
LA CANDELARIA,CANINO,11,2023,4,5,3,1,14,0.6702,0.3948,16.94,5,4,LOW
KENNEDY,FELINO,4,2024,2,16,17,6,26,0.1951,0.2428,51.36,20,4,HIGH
SANTA FE,CANINO,6,2022,4,10,11,3,23,0.3343,0.3411,31.26,11,3,MEDIUM
SANTA FE,CANINO,12,2024,2,14,17,5,30,0.1756,0.2434,45.66,16,5,HIGH
PUENTE ARANDA,CANINO,4,2023,2,6,10,1,17,0.4588,0.2597,32.58,8,4,MEDIUM
CIUDAD BOLÍVAR,CANINO,10,2022,2,6,13,2,23,0.216,0.1869,42.87,13,10,MEDIUM
PUENTE ARANDA,CANINO,10,2023,2,4,16,4,21,0.4336,0.2763,34.67,8,4,MEDIUM
CIUDAD BOLÍVAR,CANINO,9,2024,1,11,24,8,32,0.1381,0.1936,52.58,11,5,HIGH
BARRIOS UNIDOS,CANINO,10,2024,4,3,9,2,15,0.5693,0.3463,24.47,4,6,LOW
ANTONIO NARIÑO,CANINO,2,2023,2,6,15,2,24,0.278,0.2753,35.83,7,6,MEDIUM
USME,CANINO,3,2024,3,8,22,7,17,0.1944,0.1739,46.91,18,13,HIGH
BARRIOS UNIDOS,FELINO,1,2023,2,11,7,0,10,0.5313,0.4026,29.62,3,7,MEDIUM
LOS MÁRTIRES,CANINO,1,2022,2,13,14,3,27,0.0801,0.3661,53.92,11,10,HIGH
TEUSAQUILLO,CANINO,7,2024,3,4,10,2,12,0.4192,0.5068,26.57,9,3,MEDIUM
SUMAPAZ,FELINO,5,2024,5,2,3,0,11,0.6204,0.1799,8.1,1,9,LOW
SAN CRISTÓBAL,FELINO,10,2023,3,7,16,3,21,0.31,0.1802,39.27,11,9,MEDIUM
LOS MÁRTIRES,FELINO,10,2022,3,6,17,6,21,0.3236,0.3153,39.98,8,3,MEDIUM
BARRIOS UNIDOS,CANINO,4,2024,4,2,6,0,19,0.5649,0.3087,21.72,12,5,LOW
KENNEDY,CANINO,6,2023,1,15,32,9,27,0.0446,0.2294,56.34,17,7,HIGH
LOS MÁRTIRES,CANINO,12,2024,1,8,16,6,23,0.1764,0.2715,48.62,18,4,HIGH
FONTIBÓN,FELINO,7,2023,3,11,18,5,19,0.3788,0.2734,28.8,8,1,MEDIUM
CIUDAD BOLÍVAR,CANINO,1,2022,2,15,20,5,41,0.02,0.1063,54.53,21,8,HIGH
BOSA,FELINO,5,2023,2,9,15,2,24,0.2265,0.2871,50.54,14,3,HIGH
SANTA FE,FELINO,6,2022,1,5,11,1,22,0.3585,0.2882,36.14,3,5,MEDIUM
BOSA,CANINO,6,2024,2,14,12,5,32,0.1554,0.2501,55.98,20,8,HIGH
SUBA,CANINO,3,2022,3,2,8,2,13,0.6504,0.467,22.2,9,7,LOW
SAN CRISTÓBAL,CANINO,7,2024,1,10,15,2,42,0.0388,0.2097,57.37,9,7,HIGH
KENNEDY,CANINO,8,2024,1,18,17,4,26,0.0679,0.2648,53.33,20,8,HIGH
BOSA,FELINO,11,2022,2,14,18,4,29,0.1586,0.114,51.23,13,7,HIGH
CIUDAD BOLÍVAR,CANINO,9,2022,3,12,13,5,15,0.1954,0.3086,52.5,15,8,HIGH
CIUDAD BOLÍVAR,CANINO,8,2023,1,12,19,7,34,0.1687,0.2263,51.27,11,6,HIGH
RAFAEL URIBE URIBE,CANINO,1,2022,3,15,13,2,24,0.0836,0.2487,54.03,21,8,HIGH
SUBA,CANINO,10,2023,3,10,0,0,9,0.5387,0.4327,22.94,2,3,LOW
LOS MÁRTIRES,CANINO,4,2024,3,1,11,3,25,0.3697,0.3329,41.56,9,6,MEDIUM
PUENTE ARANDA,CANINO,11,2022,2,12,28,6,23,0.2569,0.2859,46.14,8,5,MEDIUM
TUNJUELITO,FELINO,12,2022,2,13,18,2,31,0.2259,0.2432,49.48,13,3,HIGH
KENNEDY,CANINO,3,2022,1,12,17,2,20,0.141,0.2958,53.35,11,4,HIGH
LA CANDELARIA,CANINO,11,2023,3,2,4,0,8,0.6099,0.4721,16.78,2,6,LOW
BARRIOS UNIDOS,CANINO,1,2024,3,7,4,0,21,0.472,0.3707,39.31,15,4,MEDIUM
USAQUÉN,CANINO,6,2024,3,8,8,2,14,0.7314,0.433,26.02,4,1,LOW
RAFAEL URIBE URIBE,FELINO,3,2024,2,9,13,2,19,0.2691,0.1705,46.85,11,9,MEDIUM
FONTIBÓN,CANINO,11,2024,4,8,6,1,29,0.4738,0.3508,39.71,7,6,MEDIUM
KENNEDY,CANINO,5,2023,1,14,20,5,29,0.2172,0.2594,55.09,9,6,HIGH
CIUDAD BOLÍVAR,CANINO,3,2023,2,12,23,7,31,0.1997,0.0888,48.13,10,5,HIGH
SUBA,FELINO,6,2023,5,7,8,2,8,0.5296,0.3769,25.05,8,4,LOW
CIUDAD BOLÍVAR,CANINO,12,2024,1,20,23,11,32,0.1468,0.1395,58.32,14,6,HIGH
BOSA,CANINO,9,2023,1,12,27,4,33,0.1862,0.253,50.86,19,5,HIGH
SANTA FE,FELINO,10,2022,3,4,11,3,23,0.4011,0.3459,23.1,5,1,MEDIUM
ANTONIO NARIÑO,CANINO,5,2023,3,5,12,3,15,0.4207,0.3733,27.77,11,3,MEDIUM
FONTIBÓN,FELINO,2,2023,2,1,8,2,13,0.4987,0.261,29.19,12,3,MEDIUM
LOS MÁRTIRES,FELINO,3,2022,3,11,23,1,26,0.3227,0.2639,43.84,15,7,MEDIUM
LOS MÁRTIRES,CANINO,3,2024,2,10,11,2,32,0.3376,0.2598,41.17,15,3,MEDIUM
PUENTE ARANDA,CANINO,2,2024,3,7,9,1,16,0.4568,0.2791,31.88,8,9,MEDIUM
FONTIBÓN,CANINO,8,2022,3,1,8,1,18,0.4123,0.3253,37.82,9,10,MEDIUM
PUENTE ARANDA,CANINO,8,2024,1,10,19,7,19,0.3317,0.2703,40.63,8,5,MEDIUM
ANTONIO NARIÑO,CANINO,8,2022,3,10,11,3,25,0.367,0.4422,38.37,8,6,MEDIUM
BARRIOS UNIDOS,CANINO,5,2023,3,4,11,2,16,0.6287,0.3874,26.93,3,7,LOW
RAFAEL URIBE URIBE,CANINO,2,2023,4,9,18,3,21,0.1945,0.2301,43.69,8,6,MEDIUM
KENNEDY,CANINO,10,2024,1,12,20,8,28,0.3088,0.288,48.63,13,5,HIGH
ENGATIVÁ,FELINO,10,2024,3,4,6,0,12,0.542,0.2873,29.63,8,8,MEDIUM
SANTA FE,CANINO,12,2023,2,9,8,2,37,0.2407,0.2632,45.47,10,6,MEDIUM
USAQUÉN,CANINO,5,2022,4,5,6,2,12,0.667,0.4967,18.14,3,2,LOW
CHAPINERO,CANINO,9,2023,3,4,7,0,17,0.7131,0.6119,22.32,6,4,LOW
BOSA,CANINO,3,2024,1,13,16,4,31,0.0614,0.2239,55.53,15,7,HIGH
BARRIOS UNIDOS,CANINO,6,2024,4,8,11,2,14,0.4574,0.3453,34.36,8,2,MEDIUM
SAN CRISTÓBAL,CANINO,12,2023,2,15,15,4,36,0.0528,0.2284,53.97,15,6,HIGH
ENGATIVÁ,CANINO,7,2024,4,6,7,3,20,0.4599,0.3918,29.04,9,3,MEDIUM
CIUDAD BOLÍVAR,FELINO,10,2024,1,13,14,4,21,0.1965,0.21,45.25,10,8,MEDIUM
BOSA,CANINO,5,2023,1,14,23,4,13,0.1718,0.2637,47.07,9,6,HIGH
KENNEDY,CANINO,10,2022,3,12,14,3,27,0.3087,0.2503,47.93,10,5,MEDIUM
TEUSAQUILLO,FELINO,9,2023,2,7,14,2,13,0.5993,0.4211,26.15,6,4,LOW
LOS MÁRTIRES,CANINO,1,2024,2,10,17,8,21,0.1436,0.2322,56.58,9,3,HIGH
BARRIOS UNIDOS,CANINO,11,2023,3,4,12,4,9,0.6034,0.4575,29.8,7,5,LOW
BARRIOS UNIDOS,CANINO,8,2023,2,5,11,3,13,0.5442,0.3104,26.47,3,1,MEDIUM
BOSA,CANINO,7,2023,1,18,28,9,32,0.0757,0.1567,54.31,19,6,HIGH
BARRIOS UNIDOS,CANINO,6,2024,4,8,5,1,14,0.6269,0.3936,20.41,3,5,LOW
SANTA FE,FELINO,3,2023,4,7,12,3,14,0.5133,0.2173,35.87,10,5,MEDIUM
LOS MÁRTIRES,FELINO,8,2024,2,10,15,2,33,0.3234,0.3288,50.11,13,11,MEDIUM
TUNJUELITO,FELINO,1,2024,1,11,17,6,35,0.0524,0.2288,50.75,10,8,HIGH
BOSA,CANINO,4,2022,1,9,28,10,25,0.275,0.1535,53.69,10,5,HIGH
CIUDAD BOLÍVAR,CANINO,2,2023,1,19,13,4,28,0.1149,0.2001,48.17,10,6,HIGH
ANTONIO NARIÑO,CANINO,9,2024,3,11,16,3,13,0.4055,0.3346,43.09,15,6,MEDIUM
USAQUÉN,CANINO,12,2023,2,6,5,2,19,0.4967,0.3928,31.03,3,1,MEDIUM
BOSA,CANINO,6,2023,2,22,19,3,33,0.1875,0.2269,50.7,16,6,HIGH
TEUSAQUILLO,FELINO,5,2023,4,2,8,1,14,0.6496,0.472,24.62,7,4,LOW
PUENTE ARANDA,CANINO,10,2023,4,10,19,6,21,0.5108,0.411,28.68,11,4,MEDIUM
CIUDAD BOLÍVAR,CANINO,7,2022,2,18,16,4,26,0.0383,0.1767,61.43,12,9,HIGH
BOSA,FELINO,9,2023,1,11,7,0,40,0.2664,0.2406,51.68,12,8,HIGH
BOSA,FELINO,8,2024,3,20,24,7,39,0.1082,0.1849,53.48,19,6,HIGH
BOSA,FELINO,9,2022,1,12,19,2,28,0.1233,0.2276,43.84,13,7,HIGH
LA CANDELARIA,CANINO,1,2022,4,7,10,1,10,0.5033,0.392,26.65,5,4,MEDIUM
PUENTE ARANDA,CANINO,11,2024,4,4,16,4,22,0.3124,0.4308,37.89,7,5,MEDIUM
SAN CRISTÓBAL,CANINO,12,2023,1,17,25,7,32,0.02,0.1871,57.46,19,8,HIGH
CHAPINERO,CANINO,9,2024,5,1,10,3,14,0.6939,0.5067,15.11,2,2,LOW
BARRIOS UNIDOS,CANINO,11,2024,4,7,12,2,5,0.5798,0.4328,26.06,7,2,LOW
CIUDAD BOLÍVAR,CANINO,2,2024,1,10,30,3,24,0.1461,0.1558,46.65,10,6,HIGH
LA CANDELARIA,CANINO,7,2024,4,1,10,4,14,0.5337,0.3897,27.72,8,8,MEDIUM
ENGATIVÁ,CANINO,5,2022,5,13,9,1,13,0.6202,0.386,22.95,4,3,LOW
BARRIOS UNIDOS,FELINO,7,2023,3,6,14,3,14,0.4322,0.3993,31.39,4,2,MEDIUM
USME,CANINO,6,2023,1,19,19,7,28,0.1689,0.1051,41.67,12,10,HIGH
ANTONIO NARIÑO,FELINO,5,2022,2,10,14,6,21,0.4155,0.2896,34.5,10,3,MEDIUM
USME,CANINO,6,2024,1,12,10,5,29,0.1431,0.2202,45.75,15,11,HIGH
BARRIOS UNIDOS,FELINO,2,2024,5,9,12,3,23,0.5652,0.3898,27.3,7,6,MEDIUM
TUNJUELITO,CANINO,8,2023,4,9,12,2,20,0.2104,0.2373,43.11,8,8,MEDIUM
TUNJUELITO,FELINO,7,2022,2,8,14,5,27,0.2017,0.3379,47.89,16,6,HIGH
LOS MÁRTIRES,CANINO,12,2023,2,14,21,6,35,0.2034,0.2933,52.25,17,8,HIGH
KENNEDY,CANINO,3,2023,2,15,28,5,25,0.1678,0.2149,57.42,15,10,HIGH
USME,FELINO,7,2023,1,16,23,10,23,0.02,0.1409,48.13,9,5,HIGH
SUBA,FELINO,7,2022,4,3,13,3,16,0.5243,0.3882,23.49,6,3,MEDIUM
USME,CANINO,7,2023,2,9,17,8,29,0.1584,0.2233,54.71,20,7,HIGH
ANTONIO NARIÑO,FELINO,5,2023,4,6,17,5,18,0.4611,0.2584,34.16,10,5,MEDIUM
TUNJUELITO,CANINO,3,2023,2,11,13,3,26,0.1594,0.2121,42.89,11,6,MEDIUM
CIUDAD BOLÍVAR,CANINO,9,2023,2,14,19,5,32,0.1035,0.1449,53.33,9,11,HIGH
BOSA,CANINO,3,2023,1,15,13,7,30,0.1723,0.2542,48.95,17,7,HIGH
SUBA,FELINO,11,2022,3,5,13,2,7,0.493,0.4744,33.48,7,5,MEDIUM
FONTIBÓN,CANINO,2,2024,3,11,10,1,19,0.4118,0.3444,32.91,7,6,MEDIUM
SAN CRISTÓBAL,FELINO,12,2022,1,17,16,7,42,0.0531,0.175,55.29,19,9,HIGH
TEUSAQUILLO,CANINO,1,2023,3,9,14,5,23,0.4887,0.3842,38.07,6,1,MEDIUM
